"scopes","question","answer"
"English","dump","куча (программир.); класть, ставить (небрежно); сваливать, выбрасывать; хоронить"
"English","maintain","поддерживать, сохранять; обслуживать; удерживать, защищать; содержать; утверждать"
"English","opportunity","шанс, возможность"
"English","prefer","предпочитать; оказывать поддержку; способствовать; продвигать; выдвигать (обвинение)"
"English","ambiguous","двусмысленный, сомнительный, неопределенный"
"English","ascend","подниматься, восходить"
"JavaScript","Что будет в параметрах function в таком выражении\n\ns.replace(regexp, function)","Первым параметром всегда является полная совпавшая подстрока. Далее будут параметры соответствующие совпадениям в круглых скобках regexp, предпоследним параметром будет позиция на которой произошло совпадение, последним - исходная строка s."
"English","gathering","уборка (хлеба); сборка; комплектование; собрание (встреча); комплект одежды"
"JavaScript","наследуются ли статические свойства и методы класса ?","да"
"English","appropriate","уместный, надлежащий, адекватный"
"JavaScript (промисы)","Каким условиям должна удовлетворять функция чтобы внутри неё можно было использовать ключевое слово 'await' ?","Должна быть помечена ключевым словом 'async'"
"English","chore","рутинная работа"
"English","approach","ГЛ. подходить, подступать; обращаться (с просьбой); СУЩ. приближение; наступление; подъезд, подступ; заход на посадку (авиа.)"
"English","simply put","Проще говоря"
"English","term","срок; длительность; термин; элемент; понятие; условия соглашения; называть, обозначать; выражать"
"English","adjacent","смежный, соседний"
"English","assume","предполагать, допускать, принимать, брать на себя (ответственность), обретать (форму) "
"English","seldom","редко, изредка"
"English","legacy","наследие, достояние, завещание"
"English (Sentences)","I {suppose} she has beautiful legs.","Я {думаю} она имеет красивые ноги"
"English","{behave}","вести себя, поступать, держаться"
"JavaScript (промисы)","Как называют функцию которая передаётся в конструктор промиса? \n\nnew Promise(function(resolve, reject){ ... })","исполнитель, executor"
"English","perhaps","возможно (пример - возможно это было...)"
"JavaScript","Что вернет метод /(a)(b)/.exec('ababab'); ? Каковы будут свойства того что будет возвращено?","Вернет массив. Этот массив будет соответствовать первой паре ab из исходной строки ababab. Первым элементом массива будет все совпадение - ab. В последующих элементах массива будет то что соответствует круглым скобкам, в данном случае во 2-м элементе будет 'a', а в 3-м будет 'b'."
"English","satisfy","удовлетворять чему-либо"
"English (Sentences)","I mean, I {tried} selling them to armed forces.","Я имею в виду, я {пытался} продавать их в вооруженные силы."
"English","careful","осторожный, тщательный"
"English","raise","поднимать; будить; воскрешать; вызывать, провоцировать; вдохновлять; повышать, увеличивать; растить; собирать (финансы); снимать (запрет)"
"English (Sentences)","But... tell your wife I {tried} to listen.","Но... скажи своей жене, что я {пытался} тебя выслушать."
