"id","scopes","question","answer"
"1","English","dump","куча (программир.); класть, ставить (небрежно); сваливать, выбрасывать; хоронить"
"2","English","maintain","поддерживать, сохранять; обслуживать; удерживать, защищать; содержать; утверждать"
"3","English","opportunity","шанс, возможность"
"4","English","prefer","предпочитать; оказывать поддержку; способствовать; продвигать; выдвигать (обвинение)"
"5","English","ambiguous","двусмысленный, сомнительный, неопределенный"
"6","English","ascend","подниматься, восходить"
"7","JavaScript","Что будет в параметрах function в таком выражении\n\ns.replace(regexp, function)","Первым параметром всегда является полная совпавшая подстрока. Далее будут параметры соответствующие совпадениям в круглых скобках regexp, предпоследним параметром будет позиция на которой произошло совпадение, последним - исходная строка s."
"8","English","gathering","уборка (хлеба); сборка; комплектование; собрание (встреча); комплект одежды"
"9","JavaScript","наследуются ли статические свойства и методы класса ?","да"
"10","English","appropriate","уместный, надлежащий, адекватный"
"11","JavaScript (промисы)","Каким условиям должна удовлетворять функция чтобы внутри неё можно было использовать ключевое слово 'await' ?","Должна быть помечена ключевым словом 'async'"
"12","English","chore","рутинная работа"
"13","English","approach","ГЛ. подходить, подступать; обращаться (с просьбой); СУЩ. приближение; наступление; подъезд, подступ; заход на посадку (авиа.)"
"14","English","simply put","Проще говоря"
"15","English","term","срок; длительность; термин; элемент; понятие; условия соглашения; называть, обозначать; выражать"
"16","English","adjacent","смежный, соседний"
"17","English","assume","предполагать, допускать, принимать, брать на себя (ответственность), обретать (форму) "
"18","English","seldom","редко, изредка"
"19","English","legacy","наследие, достояние, завещание"
"20","English (Sentences)","I {suppose} she has beautiful legs.","Я {думаю} она имеет красивые ноги"
"21","English","{behave}","вести себя, поступать, держаться"
"22","JavaScript (промисы)","Как называют функцию которая передаётся в конструктор промиса? \n\nnew Promise(function(resolve, reject){ ... })","исполнитель, executor"
"23","English","perhaps","возможно (пример - возможно это было...)"
"24","JavaScript","Что вернет метод /(a)(b)/.exec('ababab'); ? Каковы будут свойства того что будет возвращено?","Вернет массив. Этот массив будет соответствовать первой паре ab из исходной строки ababab. Первым элементом массива будет все совпадение - ab. В последующих элементах массива будет то что соответствует круглым скобкам, в данном случае во 2-м элементе будет 'a', а в 3-м будет 'b'."
"25","English","satisfy","удовлетворять чему-либо"
"26","English (Sentences)","I mean, I {tried} selling them to armed forces.","Я имею в виду, я {пытался} продавать их в вооруженные силы."
"27","English","careful","осторожный, тщательный"
"28","English","raise","поднимать; будить; воскрешать; вызывать, провоцировать; вдохновлять; повышать, увеличивать; растить; собирать (финансы); снимать (запрет)"
"29","English (Sentences)","But... tell your wife I {tried} to listen.","Но... скажи своей жене, что я {пытался} тебя выслушать."
"30","JavaScript","В чем разница между typeof operand и typeof (operand)","Ни в чем, идентичны"
"31","English","fall","падение, упасть"
"32","English","consecutive","последовательный"
"33","English (PRG)","Statement","Инструкция\n\nОтдельный кусок кода"
"34","English","reliability","надежность; достоверность"
"35","English","advantage","СУЩ. преимущество; польза. ГЛ. способствовать; давать преимущество"
"36","JavaScript","что содержится в переменной которой не присваивалось значение?","undefined"
"37","English","wasted","растраченный понапрасну, истощенный"
"38","JavaScript","Что вернет 'aabbcc'.indexOf('b');","2 (индекс буквы b, поиск с начала строки)"
"39","English","leverage","сила, рычаг (для достижения цели), использовать (с выгодой)"
"40","English","no-op","пустой оператор, холостая команда"
"41","English","unless","Союз: если не, если только не, пока не. Предлог: за исключением, кроме"
"42","English","retrieve","Извлекать. Возвращать"
"43","English","enhance","увеличивать, улучшать, дорожать"
"44","English","even","даже, плоский, ровный, четный, выравнивать, вечер"
"45","English","issue","выпуск (продукции); издание (журналов); выходной канал; потомство; исход, результат, плод; спорный вопрос; проблема; дело; тема; пункт; вытекать, выходить; появляться; кончаться (чем-либо); задача (в программировании)"
"46","English","embed","вставлять, врезать; внедрять"
"47","English","although","хотя, если бы даже; несмотря на то, что"
"48","English","through","через, сквозь; в течение, в продолжение; посредством; совершенно (промокший); безпрепятственный, свободный"
"49","English","entirely","вполне, всецело, полностью, совершенно, совсем"
